1,33,1,16,
1,33,8,9,
1,34,5,12,
1,34,4,13,
1,35,6,11,
1,35,3,14,
1,36,7,10,
1,36,2,15,
1,37,17,32,
1,37,24,25,
1,38,21,28,
1,38,20,29,
1,39,22,27,
1,39,19,30,
1,40,23,26,
1,40,18,31,
1,41,33,48,
1,41,40,41,
1,42,37,44,
1,42,36,45,
1,43,38,43,
1,43,35,46,
1,44,39,42,
1,44,34,47,
1,45,49,64,
1,45,56,57,
1,46,53,60,
1,46,52,61,
1,47,54,59,
1,47,51,62,
1,48,55,58,
1,48,50,63,
2,49,,,
2,49,,,
2,50,,,
2,50,,,
2,51,,,
2,51,,,
2,52,,,
2,52,,,
2,53,,,
2,53,,,
2,54,,,
2,54,,,
2,55,,,
2,55,,,
2,56,,,
2,56,,,
3,57,,,
3,57,,,
3,58,,,
3,58,,,
3,59,,,
3,59,,,
3,60,,,
3,60,,,
4,61,,,
4,61,,,
4,62,,,
4,62,,,
5,63,,,
5,63,,,
6,,,,
